Date,SMA1,SMA2,SMA3,SMA4,SMA5,SMA6,SMA7,SMA8,SMA9,SMA10,SMA11,SMA12,SMA13,SMA14,SMA15,SMA16,SMA17,SMA18,SMA19,SMA20
6/1/2021,112.5000000000,107.5000000000,107.6666666667,106.5000000000,104.9600006000,102.6333338333,101.2714287143,100.0875005000,98.2444448889,96.4700004000,94.3545455455,92.0416665833,90.6538460769,89.8357140000,89.7066665333,90.1999997500,90.8058821176,90.8444442222,90.4999999474,90.3249999500
6/2/2021,111.0000000000,111.7500000000,108.6666666667,108.5000000000,107.4000000000,105.9666671667,103.8285718571,102.4875001250,101.3000004444,99.5200004000,97.7909094545,95.7416667500,93.4999999231,92.1071427857,91.2466664000,91.0374998750,91.4235291765,91.9277775556,91.9052629474,91.5249999500
6/3/2021,112.5000000000,111.7500000000,112.0000000000,109.6250000000,109.3000000000,108.2500000000,106.9000004286,104.9125003750,103.6000001111,102.4200004000,100.7000003636,99.0166670000,97.0307693077,94.8571427857,93.4666666000,92.5749997500,92.2999998824,92.5944442222,93.0105261053,92.9349998000
6/4/2021,115.5000000000,114.0000000000,113.0000000000,112.8750000000,110.8000000000,110.3333333333,109.2857142857,107.9750003750,106.0888892222,104.7900001000,103.6090912727,101.9333336667,100.2846156923,98.3500000714,96.2333332667,94.8437499375,93.9235291765,93.5888887778,93.7999997895,94.1349998000
6/7/2021,107.0000000000,111.2500000000,111.6666666667,111.5000000000,111.7000000000,110.1666666667,109.8571428571,109.0000000000,107.8666670000,106.1800003000,104.9909091818,103.8916670000,102.3230772308,100.7642860000,98.9266667333,96.9062499375,95.5588234706,94.6499997778,94.2947367368,94.4599998000
6/8/2021,114.5000000000,110.7500000000,112.3333333333,112.3750000000,112.1000000000,112.1666666667,110.7857142857,110.4375000000,109.6111111111,108.5300003000,106.9363639091,105.7833334167,104.7076926154,103.1928574286,101.6800002667,99.9000000625,97.9411764118,96.6111110556,95.6947366316,95.3049999000
6/9/2021,113.0000000000,113.7500000000,111.5000000000,112.5000000000,112.5000000000,112.2500000000,112.2857142857,111.0625000000,110.7222222222,109.9500000000,108.9363639091,107.4416669167,106.3384616154,105.3000002857,103.8466669333,102.3875002500,100.6705882941,98.7777777222,97.4736841579,96.5599998000
6/10/2021,110.5000000000,111.7500000000,112.6666666667,111.2500000000,112.1000000000,112.1666666667,112.0000000000,112.0625000000,111.0000000000,110.7000000000,110.0000000000,109.0666669167,107.6769233077,106.6357143571,105.6466669333,104.2625002500,102.8647061176,101.2166667222,99.3947367895,98.1249999500
6/11/2021,116.0000000000,113.2500000000,113.1666666667,113.5000000000,112.2000000000,112.7500000000,112.7142857143,112.5000000000,112.5000000000,111.5000000000,111.1818181818,110.5000000000,109.6000002308,108.2714287857,107.2600000667,106.2937502500,104.9529414118,103.5944446667,101.9947368947,100.2249999500
6/15/2021,127.5000000000,121.7500000000,118.0000000000,116.7500000000,116.3000000000,114.7500000000,114.8571428571,114.5625000000,114.1666666667,114.0000000000,112.9545454545,112.5416666667,111.8076923077,110.8785716429,109.5533335333,108.5250000625,107.5411767059,106.2055557778,104.8526317895,103.2700000500
6/16/2021,130.0000000000,128.7500000000,124.5000000000,121.0000000000,119.4000000000,118.5833333333,116.9285714286,116.7500000000,116.2777777778,115.7500000000,115.4545454545,114.3750000000,113.8846153846,113.1071428571,112.1533335333,110.8312501875,109.7882353529,108.7888891111,107.4578949474,106.1100002000
6/17/2021,140.5000000000,135.2500000000,132.6666666667,128.5000000000,124.9000000000,122.9166666667,121.7142857143,119.8750000000,119.3888888889,118.7000000000,118.0000000000,117.5416666667,116.3846153846,115.7857142857,114.9333333333,113.9250001875,112.5764707647,111.4944445000,110.4578949474,109.1100002000
6/18/2021,149.5000000000,145.0000000000,140.0000000000,136.8750000000,132.7000000000,129.0000000000,126.7142857143,125.1875000000,123.1666666667,122.4000000000,121.5000000000,120.6250000000,120.0000000000,118.7500000000,118.0333333333,117.0937500000,116.0176472353,114.6277779444,113.4947368947,112.4100002000
6/21/2021,158.5000000000,154.0000000000,149.5000000000,144.6250000000,141.2000000000,137.0000000000,133.2142857143,130.6875000000,128.8888888889,126.7000000000,125.6818181818,124.5833333333,123.5384615385,122.7500000000,121.4000000000,120.5625000000,119.5294117647,118.3777779444,116.9368422632,115.7450000500
6/22/2021,154.5000000000,156.5000000000,154.1666666667,150.7500000000,146.6000000000,143.4166666667,139.5000000000,135.8750000000,133.3333333333,131.4500000000,129.2272727273,128.0833333333,126.8846153846,125.7500000000,124.8666666667,123.4687500000,122.5588235294,121.4722222222,120.2789475263,118.8150001500
6/23/2021,139.5000000000,147.0000000000,150.8333333333,150.5000000000,148.5000000000,145.4166666667,142.8571428571,139.5000000000,136.2777777778,133.9500000000,132.1818181818,130.0833333333,128.9615384615,127.7857142857,126.6666666667,125.7812500000,124.4117647059,123.5000000000,122.4210526316,121.2400001500
6/24/2021,149.0000000000,144.2500000000,147.6666666667,150.3750000000,150.2000000000,148.5833333333,145.9285714286,143.6250000000,140.5555555556,137.5500000000,135.3181818182,133.5833333333,131.5384615385,130.3928571429,129.2000000000,128.0625000000,127.1470588235,125.7777777778,124.8421052632,123.7500000000
6/25/2021,151.0000000000,150.0000000000,146.5000000000,148.5000000000,150.5000000000,150.3333333333,148.9285714286,146.5625000000,144.4444444444,141.6000000000,138.7727272727,136.6250000000,134.9230769231,132.9285714286,131.7666666667,130.5625000000,129.4117647059,128.4722222222,127.1052631579,126.1500000000
6/28/2021,166.0000000000,158.5000000000,155.3333333333,151.3750000000,152.0000000000,153.0833333333,152.5714285714,151.0625000000,148.7222222222,146.6000000000,143.8181818182,141.0416666667,138.8846153846,137.1428571429,135.1333333333,133.9062500000,132.6470588235,131.4444444444,130.4473684211,129.0500000000
6/29/2021,166.0000000000,166.0000000000,161.0000000000,158.0000000000,154.3000000000,154.3333333333,154.9285714286,154.2500000000,152.7222222222,150.4500000000,148.3636363636,145.6666666667,142.9615384615,140.8214285714,139.0666666667,137.0625000000,135.7941176471,134.5000000000,133.2631578947,132.2250000000
6/30/2021,182.5000000000,174.2500000000,171.5000000000,166.3750000000,162.9000000000,159.0000000000,158.3571428571,158.3750000000,157.3888888889,155.7000000000,153.3636363636,151.2083333333,148.5000000000,145.7857142857,143.6000000000,141.7812500000,139.7352941176,138.3888888889,137.0263157895,135.7250000000
