Date,Price
5/3/2021,87.699997
5/4/2021,80
5/5/2021,87
5/6/2021,84.300003
5/7/2021,91.5
5/10/2021,100.5
5/11/2021,97.599998
5/12/2021,87.900002
5/13/2021,79.199997
5/14/2021,74
5/17/2021,66.599998
5/18/2021,73.199997
5/19/2021,80.5
5/20/2021,83.5
5/21/2021,91.800003
5/24/2021,93.099998
5/25/2021,91
5/26/2021,98.800003
5/27/2021,103
5/28/2021,108
5/31/2021,102.5
6/1/2021,112.5
6/2/2021,111
6/3/2021,112.5
6/4/2021,115.5
6/7/2021,107
6/8/2021,114.5
6/9/2021,113
6/10/2021,110.5
6/11/2021,116
6/15/2021,127.5
6/16/2021,130
6/17/2021,140.5
6/18/2021,149.5
6/21/2021,158.5
6/22/2021,154.5
6/23/2021,139.5
6/24/2021,149
6/25/2021,151
6/28/2021,166
6/29/2021,166
6/30/2021,182.5
